stamp_sec,ref_stamp_sec,vib_stamp_sec,x,y,z,roll,pitch,yaw
1784309504.799884319,1784309504.799884319,1784309504.799884319,-0.424958,-0.064624,0.074502,-0.084203,-0.005203,-0.128536
1784309504.866511822,1784309504.866511822,1784309504.866511822,-0.425901,-0.064897,0.074822,-0.080427,-0.003961,-0.134063
1784309504.899817467,1784309504.899817467,1784309504.899817467,-0.426732,-0.064140,0.074548,-0.090842,-0.006733,-0.136585
1784309504.999849796,1784309504.999849796,1784309504.999849796,-0.428479,-0.064227,0.073046,-0.084212,-0.011982,-0.146027
1784309505.033091307,1784309505.033091307,1784309505.033091307,-0.429123,-0.063902,0.073219,-0.085301,-0.010426,-0.149435
1784309505.066477060,1784309505.066477060,1784309505.066477060,-0.429575,-0.064266,0.073328,-0.081979,-0.010521,-0.152113
1784309505.133104086,1784309505.133104086,1784309505.133104086,-0.430559,-0.063381,0.075081,-0.087438,-0.008995,-0.159285
1784309505.166366816,1784309505.166366816,1784309505.166366816,-0.430849,-0.063522,0.076216,-0.086184,-0.003837,-0.161833
1784309505.199752092,1784309505.199752092,1784309505.199752092,-0.431489,-0.063151,0.073855,-0.090724,-0.013432,-0.163048
1784309505.266421556,1784309505.266421556,1784309505.266421556,-0.431536,-0.063242,0.074201,-0.092375,-0.010779,-0.163151
1784309505.299708366,1784309505.299708366,1784309505.299708366,-0.431234,-0.063519,0.074903,-0.087856,-0.007495,-0.163261
1784309505.333092451,1784309505.333092451,1784309505.333092451,-0.431373,-0.062607,0.073953,-0.097572,-0.011932,-0.162634
1784309505.399760008,1784309505.399760008,1784309505.399760008,-0.431326,-0.063350,0.073935,-0.090573,-0.010202,-0.162579
1784309505.433020592,1784309505.433020592,1784309505.433020592,-0.431242,-0.062542,0.074921,-0.096625,-0.010845,-0.163081
1784309505.499711514,1784309505.499711514,1784309505.499711514,-0.431676,-0.063350,0.073023,-0.089345,-0.012913,-0.163802
1784309505.533097267,1784309505.533097267,1784309505.533097267,-0.431925,-0.063261,0.072911,-0.090188,-0.012521,-0.164378
1784309505.566380739,1784309505.566380739,1784309505.566380739,-0.431484,-0.063499,0.075138,-0.086915,-0.006743,-0.164536
1784309505.599767208,1784309505.599767208,1784309505.599767208,-0.431765,-0.062871,0.072593,-0.095823,-0.014256,-0.163615
1784309505.633007765,1784309505.633007765,1784309505.633007765,-0.431136,-0.063407,0.073900,-0.089347,-0.011381,-0.162075
1784309505.699675798,1784309505.699675798,1784309505.699675798,-0.430491,-0.063291,0.072439,-0.092384,-0.014367,-0.156476
1784309505.733064890,1784309505.733064890,1784309505.733064890,-0.429824,-0.062820,0.073098,-0.096642,-0.012915,-0.153620
1784309505.832992792,1784309505.832992792,1784309505.832992792,-0.427934,-0.064124,0.071964,-0.086684,-0.012700,-0.141781
1784309505.866379738,1784309505.866379738,1784309505.866379738,-0.427202,-0.063383,0.072518,-0.095033,-0.012605,-0.138494
1784309505.899662256,1784309505.899662256,1784309505.899662256,-0.426483,-0.063883,0.072549,-0.094532,-0.012580,-0.133715
1784309505.966310024,1784309505.966310024,1784309505.966310024,-0.425392,-0.063481,0.072231,-0.101238,-0.012817,-0.126890
1784309506.032958508,1784309506.032958508,1784309506.032958508,-0.423875,-0.063755,0.074277,-0.101132,-0.009157,-0.120312
1784309506.099627256,1784309506.099627256,1784309506.099627256,-0.423219,-0.064166,0.071604,-0.099365,-0.011976,-0.113729
1784309506.133013964,1784309506.133013964,1784309506.133013964,-0.422162,-0.064824,0.073336,-0.092582,-0.006669,-0.110027
1784309506.166260242,1784309506.166260242,1784309506.166260242,-0.421637,-0.064032,0.073526,-0.101933,-0.008533,-0.106663
1784309506.232923269,1784309506.232923269,1784309506.232923269,-0.420198,-0.064395,0.074969,-0.099994,-0.002235,-0.100350
1784309506.266310215,1784309506.266310215,1784309506.266310215,-0.419849,-0.064724,0.073921,-0.094725,-0.004934,-0.098125
1784309506.399606228,1784309506.399606228,1784309506.399606228,-0.419013,-0.064585,0.073911,-0.097135,-0.004082,-0.092793
1784309506.432889938,1784309506.432889938,1784309506.432889938,-0.418935,-0.064575,0.073458,-0.099095,-0.005716,-0.091768
1784309506.499557734,1784309506.499557734,1784309506.499557734,-0.418311,-0.065069,0.074078,-0.093232,-0.002763,-0.089132
1784309506.532944679,1784309506.532944679,1784309506.532944679,-0.418127,-0.064570,0.073299,-0.097930,-0.006241,-0.087550
1784309506.566185474,1784309506.566185474,1784309506.566185474,-0.418005,-0.064861,0.072696,-0.096206,-0.007070,-0.086506
1784309506.599573851,1784309506.599573851,1784309506.599573851,-0.417844,-0.065338,0.073503,-0.091952,-0.002941,-0.085652
1784309506.666240454,1784309506.666240454,1784309506.666240454,-0.418033,-0.064663,0.072644,-0.099649,-0.007052,-0.085802
1784309506.799515963,1784309506.799515963,1784309506.799515963,-0.419547,-0.064858,0.073685,-0.091429,-0.004019,-0.095601
1784309506.832820654,1784309506.832820654,1784309506.832820654,-0.420461,-0.064164,0.072847,-0.095878,-0.007980,-0.100361
1784309506.866209269,1784309506.866209269,1784309506.866209269,-0.421154,-0.064607,0.073819,-0.090297,-0.004944,-0.105155
1784309506.899489880,1784309506.899489880,1784309506.899489880,-0.422052,-0.064466,0.073890,-0.090367,-0.005608,-0.110308
1784309506.932874918,1784309506.932874918,1784309506.932874918,-0.423054,-0.064804,0.073102,-0.086365,-0.004951,-0.114949
1784309506.966116190,1784309506.966116190,1784309506.966116190,-0.423716,-0.064490,0.073031,-0.087993,-0.008384,-0.118844
1784309506.999502897,1784309506.999502897,1784309506.999502897,-0.424526,-0.064224,0.072539,-0.089827,-0.010139,-0.122907
1784309507.066170931,1784309507.066170931,1784309507.066170931,-0.425481,-0.064151,0.074650,-0.090016,-0.005825,-0.129809
1784309507.099436283,1784309507.099436283,1784309507.099436283,-0.426257,-0.063723,0.074120,-0.092532,-0.008880,-0.133357
1784309507.132820129,1784309507.132820129,1784309507.132820129,-0.426775,-0.064106,0.074408,-0.086103,-0.006219,-0.137215
1784309507.166101694,1784309507.166101694,1784309507.166101694,-0.427482,-0.063936,0.073778,-0.087799,-0.007165,-0.140046
1784309507.232750416,1784309507.232750416,1784309507.232750416,-0.428205,-0.064154,0.074796,-0.084750,-0.005898,-0.145037
1784309507.299418926,1784309507.299418926,1784309507.299418926,-0.428753,-0.063513,0.075109,-0.090776,-0.006278,-0.148881
1784309507.332807064,1784309507.332807064,1784309507.332807064,-0.429077,-0.063553,0.074849,-0.089872,-0.007543,-0.150360
1784309507.366067410,1784309507.366067410,1784309507.366067410,-0.429125,-0.063895,0.075627,-0.086924,-0.004401,-0.151515
1784309507.432735920,1784309507.432735920,1784309507.432735920,-0.429561,-0.064122,0.074895,-0.081991,-0.005203,-0.153857
1784309507.466123343,1784309507.466123343,1784309507.466123343,-0.429658,-0.064002,0.075526,-0.083809,-0.005030,-0.154602
1784309507.499384165,1784309507.499384165,1784309507.499384165,-0.429472,-0.064048,0.076717,-0.081017,-0.002021,-0.155712
1784309507.566011667,1784309507.566011667,1784309507.566011667,-0.429787,-0.064029,0.075069,-0.082734,-0.004268,-0.155575
1784309507.599401951,1784309507.599401951,1784309507.599401951,-0.430384,-0.063755,0.072312,-0.084635,-0.010271,-0.155663
1784309507.699329138,1784309507.699329138,1784309507.699329138,-0.430232,-0.064678,0.072203,-0.074026,-0.009350,-0.155431
1784309507.732718229,1784309507.732718229,1784309507.732718229,-0.430290,-0.064635,0.071753,-0.077857,-0.009767,-0.154681
